job_id,title,company,region,posted_date,skills_required,experience_required,salary_estimate
JOB-0022,Mobile Developer,HCL,India,2025-05-27,javascript|swift|git|react native|rest api,7,1391971
JOB-0023,Frontend Developer,Amazon,India,2025-04-09,html|javascript|css,10,3151503
JOB-0024,Frontend Developer,Google,India,2026-02-02,tailwind css|react|typescript|next.js|javascript|html|css,2,707450
JOB-0025,DevOps Engineer,Zomato,US,2025-08-18,ci/cd|linux|docker|kubernetes|git|python|terraform,3,167888
JOB-0026,Software Engineer,Apple,India,2025-10-31,rest api|git|java|agile|linux,10,1731565
JOB-0027,ML Engineer,HCL,Global,2025-12-15,machine learning|aws|mlops,1,165668
JOB-0028,Software Engineer,Amazon,India,2025-10-08,python|git|agile|sql,5,3818719
JOB-0029,DevOps Engineer,Microsoft,India,2026-01-21,linux|terraform|ci/cd|kubernetes,7,3227241
JOB-0030,ML Engineer,Salesforce,Asia Pacific,2025-01-13,deep learning|mlops|pytorch|docker|tensorflow|python,2,46655
JOB-0031,Product Manager,Razorpay,Asia Pacific,2025-05-23,excel|agile|data analysis|jira,3,92921
JOB-0032,Data Engineer,Uber,India,2025-11-22,postgresql|sql|docker|big data|python|aws|hadoop|apache spark,10,603051
JOB-0033,DevOps Engineer,Meta,Asia Pacific,2026-01-07,docker|python|terraform|kubernetes|ci/cd|linux|aws|git,2,113847
JOB-0034,Cybersecurity Analyst,Apple,India,2025-11-14,linux|networking|ethical hacking|sql|python,1,1350201
JOB-0035,Data Scientist,Netflix,India,2025-08-25,deep learning|machine learning|pandas|sql|data visualization|scikit-learn|statistics,2,3209305
JOB-0036,Backend Developer,Zomato,India,2025-02-16,rest api|sql|node.js,7,2339183
JOB-0037,Frontend Developer,Google,US,2025-12-23,javascript|next.js|html|git,10,93289
JOB-0038,Software Engineer,Apple,Europe,2025-01-16,linux|agile|java|git,1,85195
JOB-0039,Data Engineer,Adobe,Asia Pacific,2025-09-25,docker|aws|big data|hadoop|apache spark,2,78494
JOB-0040,Data Engineer,Adobe,US,2025-08-03,python|apache spark|hadoop,2,127458
JOB-0041,Frontend Developer,Salesforce,US,2026-02-17,html|tailwind css|react|css|git|next.js,3,88888
JOB-0042,ML Engineer,Uber,Europe,2025-02-05,machine learning|deep learning|mlops|tensorflow,5,121180
JOB-0043,ML Engineer,HCL,India,2026-01-04,machine learning|aws|mlops|deep learning|pytorch|docker|python|tensorflow,0,3825187
JOB-0044,Data Analyst,Adobe,India,2025-10-11,tableau|pandas|sql|data analysis|python|excel|power bi|statistics,3,1639458
JOB-0045,Frontend Developer,Meta,Global,2025-05-24,javascript|css|html,0,176174
JOB-0046,ML Engineer,Flipkart,Europe,2025-08-27,deep learning|docker|pytorch|mlops|tensorflow|aws,2,51542
JOB-0047,Cloud Architect,Tech Mahindra,India,2025-10-10,aws|docker|gcp|networking,7,1662383
JOB-0048,Full Stack Developer,Oracle,India,2025-11-23,html|mongodb|react,1,2291738
JOB-0049,ML Engineer,Infosys,US,2025-06-22,pytorch|deep learning|python|aws|mlops|docker|tensorflow,5,112344
JOB-0050,ML Engineer,Swiggy,India,2025-07-10,docker|deep learning|tensorflow|machine learning|pytorch|aws,10,2153068
JOB-0051,Data Engineer,PhonePe,Asia Pacific,2026-01-09,python|sql|docker|postgresql|big data|aws|hadoop,3,111726
JOB-0052,Product Manager,PhonePe,US,2026-01-08,sql|agile|excel|jira,2,77114
JOB-0053,Cloud Architect,TCS,US,2025-06-05,aws|gcp|kubernetes|linux|terraform|docker|azure,2,101921
JOB-0054,Backend Developer,HCL,India,2026-02-15,sql|node.js|postgresql|rest api|docker|git|python|redis,1,2532015
JOB-0055,Product Manager,Amazon,Asia Pacific,2025-03-23,jira|sql|agile|data analysis|excel,10,105545
JOB-0056,Data Scientist,Swiggy,India,2025-10-16,statistics|pandas|scikit-learn|data visualization|sql|deep learning|machine learning|python,10,2366616
JOB-0057,Mobile Developer,Uber,Asia Pacific,2025-04-08,firebase|swift|rest api,7,52763
JOB-0058,QA Engineer,Apple,Global,2026-03-13,postman|sql|javascript|python|agile,1,103330
JOB-0059,Product Manager,HCL,India,2025-02-20,data analysis|agile|sql,3,1300903
JOB-0060,Cybersecurity Analyst,Wipro,India,2025-09-07,cybersecurity|python|networking|ethical hacking,10,1240053
JOB-0061,Product Manager,Uber,India,2025-10-30,jira|data analysis|sql|agile|excel,1,2134026
JOB-0062,Full Stack Developer,Microsoft,India,2025-04-08,docker|css|html|git,2,1953038
JOB-0063,DevOps Engineer,Tech Mahindra,Asia Pacific,2025-05-13,aws|ci/cd|python|terraform|git|docker|kubernetes,3,113477
JOB-0064,Data Engineer,Flipkart,US,2026-01-06,sql|docker|python,3,153807
JOB-0065,Data Engineer,Salesforce,US,2025-02-20,apache spark|big data|python|docker|hadoop,3,149252
JOB-0066,Backend Developer,HCL,India,2025-02-15,postgresql|redis|git|sql,3,3100856
JOB-0067,Full Stack Developer,PhonePe,US,2025-04-17,mongodb|git|html|node.js|css|docker|sql|react|javascript,3,195646
JOB-0068,Cloud Architect,Zomato,US,2025-03-19,linux|aws|networking|docker,7,75122
JOB-0069,Product Manager,Flipkart,US,2025-10-01,agile|sql|jira|excel,5,143688
JOB-0070,Cybersecurity Analyst,Tech Mahindra,US,2025-09-30,python|linux|cybersecurity|ethical hacking|networking,3,73596
JOB-0071,Frontend Developer,Tech Mahindra,Europe,2025-04-19,git|typescript|javascript|html,2,122274
JOB-0072,Backend Developer,TCS,Asia Pacific,2025-11-16,node.js|redis|postgresql|python,1,67285
JOB-0073,Full Stack Developer,Netflix,India,2025-11-27,sql|react|docker|html|css|node.js|javascript|mongodb,1,1395543
JOB-0074,Data Scientist,Oracle,Global,2025-01-04,statistics|pandas|scikit-learn|machine learning|sql|deep learning|python|data visualization,3,50846
JOB-0075,AI Engineer,Adobe,Asia Pacific,2025-05-13,pytorch|generative ai|python|huggingface|nlp|computer vision|tensorflow|deep learning,3,76976
JOB-0076,Software Engineer,Zomato,India,2025-10-20,java|python|linux|agile|git|sql|rest api|c++,2,985925
JOB-0077,AI Engineer,Apple,India,2025-06-21,huggingface|tensorflow|generative ai|nlp,1,2585296
JOB-0078,QA Engineer,TCS,US,2025-04-04,agile|sql|postman|javascript|git,5,137444
JOB-0079,Data Analyst,Microsoft,India,2025-02-04,python|sql|excel,1,2755748
JOB-0080,Product Manager,Amazon,India,2025-01-05,agile|excel|jira|sql|data analysis,2,2455619
JOB-0081,AI Engineer,Salesforce,Asia Pacific,2025-10-22,deep learning|tensorflow|computer vision|huggingface|python|pytorch|nlp|generative ai,1,49184
JOB-0082,Software Engineer,PhonePe,India,2025-11-05,python|java|sql|git|agile,1,2138601
JOB-0083,QA Engineer,PhonePe,US,2025-08-19,agile|sql|python|javascript|git,1,114028
JOB-0084,DevOps Engineer,Google,India,2025-03-27,linux|terraform|git|docker,1,2096972
JOB-0085,Frontend Developer,Swiggy,India,2025-07-03,html|react|javascript|tailwind css|css|next.js|typescript,3,2680154
JOB-0086,ML Engineer,Meta,US,2025-10-26,python|docker|mlops|aws|machine learning,2,82999
JOB-0087,AI Engineer,Zomato,US,2025-08-06,computer vision|huggingface|nlp|pytorch|python|deep learning|tensorflow,3,169131
JOB-0088,Cybersecurity Analyst,Meta,Global,2025-05-13,python|sql|linux|cybersecurity|networking|ethical hacking,2,105176
JOB-0089,Data Engineer,Zomato,Global,2025-08-02,hadoop|apache spark|sql|postgresql|aws,1,97523
JOB-0090,Data Analyst,Google,Asia Pacific,2025-02-24,excel|python|power bi|data analysis|sql,0,79224
JOB-0091,Data Analyst,Amazon,India,2025-01-25,power bi|sql|tableau|pandas,3,898512
JOB-0092,Mobile Developer,Razorpay,Global,2025-07-01,swift|react native|kotlin,3,87148
JOB-0093,Full Stack Developer,Salesforce,Europe,2025-12-03,html|react|git|node.js|mongodb|css,3,70806
JOB-0094,Data Engineer,Adobe,India,2025-07-30,apache spark|sql|hadoop|big data|python|aws|docker|postgresql,3,3294287
JOB-0095,Data Scientist,Google,Europe,2025-06-24,statistics|sql|scikit-learn|deep learning,1,75522
JOB-0096,Software Engineer,Wipro,Asia Pacific,2025-12-25,python|git|sql|linux|c++,5,66399
JOB-0097,Data Engineer,Wipro,India,2025-09-04,docker|python|sql|hadoop|aws,3,1078446
JOB-0098,ML Engineer,Google,US,2025-09-21,pytorch|machine learning|python|tensorflow,2,191300
JOB-0099,DevOps Engineer,Netflix,India,2025-11-26,linux|kubernetes|docker,10,1001921
JOB-0100,Backend Developer,Oracle,India,2026-01-21,sql|node.js|rest api|python|docker,3,2305215
JOB-0101,Data Scientist,Razorpay,India,2025-12-08,scikit-learn|pandas|statistics|data visualization|sql|machine learning,2,2603679
JOB-0102,ML Engineer,Uber,India,2025-02-09,docker|mlops|tensorflow|machine learning,1,1380316
JOB-0103,DevOps Engineer,Apple,India,2025-05-26,ci/cd|aws|git|terraform|python|docker|linux,7,2294693
JOB-0104,DevOps Engineer,Tech Mahindra,India,2025-01-27,ci/cd|python|docker,1,1172212
JOB-0105,Data Engineer,Uber,US,2025-07-09,big data|postgresql|aws|python,5,81555
JOB-0106,Data Engineer,Flipkart,India,2025-06-13,python|aws|hadoop,1,1915573
JOB-0107,Cloud Architect,Google,India,2025-08-27,kubernetes|terraform|azure|aws|linux|docker,1,1300780
JOB-0108,Data Analyst,Microsoft,India,2025-07-20,data analysis|statistics|python,0,1924070
JOB-0109,Data Scientist,Apple,India,2026-03-11,scikit-learn|deep learning|statistics|python|sql|pandas|machine learning|data visualization,1,1393392
JOB-0110,AI Engineer,Uber,India,2025-11-14,computer vision|deep learning|tensorflow|nlp|python,7,2802575
JOB-0111,Data Analyst,Salesforce,US,2025-05-23,statistics|power bi|data analysis|excel|pandas,10,140342
JOB-0112,AI Engineer,Infosys,India,2025-04-27,python|computer vision|tensorflow,7,1438003
JOB-0113,Data Scientist,Tech Mahindra,US,2025-01-14,data visualization|scikit-learn|python|sql|machine learning,2,72983
JOB-0114,DevOps Engineer,Razorpay,US,2026-01-11,aws|python|kubernetes,2,164223
JOB-0115,Cybersecurity Analyst,Microsoft,India,2025-06-19,networking|python|cybersecurity|ethical hacking,10,1350865
JOB-0116,ML Engineer,Infosys,India,2025-01-29,deep learning|machine learning|mlops|tensorflow|aws|docker|pytorch|python,2,3306871
JOB-0117,Data Analyst,Tech Mahindra,India,2025-12-25,power bi|python|pandas|excel|statistics|data analysis,2,1149239
JOB-0118,Frontend Developer,Salesforce,India,2025-06-02,css|react|html,5,1191652
JOB-0119,Mobile Developer,TCS,Global,2025-11-15,flutter|git|kotlin|swift|javascript|firebase|react native|rest api,0,130435
JOB-0120,Cloud Architect,Oracle,Asia Pacific,2025-11-06,docker|aws|linux|networking|azure|terraform|kubernetes,10,67376
JOB-0121,Cloud Architect,TCS,Asia Pacific,2025-02-23,kubernetes|linux|terraform,3,47657
JOB-0122,Data Scientist,Uber,India,2025-06-09,sql|pandas|machine learning|deep learning|python,3,3462689
JOB-0123,Cloud Architect,Amazon,India,2025-01-29,kubernetes|networking|linux,5,926916
JOB-0124,Data Scientist,PhonePe,India,2025-09-08,sql|data visualization|python|pandas|statistics|scikit-learn|machine learning,7,1735564
JOB-0125,Cloud Architect,Swiggy,US,2025-12-15,terraform|kubernetes|docker|aws|linux,3,194165
JOB-0126,Cloud Architect,Google,India,2025-10-31,docker|linux|azure,5,2521214
JOB-0127,Cybersecurity Analyst,Infosys,Asia Pacific,2025-02-14,sql|networking|python|ethical hacking,2,42719
JOB-0128,Product Manager,Infosys,India,2025-12-22,jira|sql|data analysis|agile,3,1088972
JOB-0129,Software Engineer,HCL,US,2025-08-11,python|agile|rest api|java,10,157272
JOB-0130,QA Engineer,PhonePe,Global,2025-10-05,python|git|sql|javascript|agile|postman,5,100192
JOB-0131,Software Engineer,Tech Mahindra,US,2025-01-22,sql|python|rest api|git,5,91195
JOB-0132,ML Engineer,Oracle,Europe,2025-01-07,tensorflow|aws|machine learning|pytorch|mlops|docker|python,1,94569
JOB-0133,Data Scientist,Meta,US,2026-02-01,pandas|python|machine learning,1,148797
JOB-0134,Mobile Developer,Amazon,Global,2025-08-24,firebase|kotlin|swift|flutter|react native|git,2,113416
JOB-0135,Mobile Developer,Google,India,2026-02-26,git|rest api|swift|flutter,3,2977935
JOB-0136,Cybersecurity Analyst,Zomato,India,2025-04-03,ethical hacking|cybersecurity|sql,2,2255743
JOB-0137,Cloud Architect,Amazon,India,2025-01-15,gcp|azure|linux,1,2247608
JOB-0138,Full Stack Developer,Microsoft,Europe,2026-01-30,sql|docker|node.js|mongodb|css|react|html,5,76143
JOB-0139,Data Analyst,Google,Global,2026-03-01,statistics|python|tableau|power bi|pandas,0,88559
JOB-0140,Full Stack Developer,Oracle,India,2026-02-28,node.js|sql|git|html,0,1868300
JOB-0141,Full Stack Developer,Infosys,India,2025-12-25,css|html|node.js|javascript,7,2408322
JOB-0142,Data Analyst,TCS,US,2025-08-11,excel|sql|tableau,3,94826
JOB-0143,Mobile Developer,Oracle,US,2026-01-25,javascript|rest api|git|flutter,5,181562
JOB-0144,Cybersecurity Analyst,Razorpay,India,2025-10-28,cybersecurity|python|sql|ethical hacking|linux,1,1194604
JOB-0145,DevOps Engineer,Adobe,India,2026-02-06,linux|python|kubernetes|git|aws,1,2922466
JOB-0146,Full Stack Developer,PhonePe,India,2025-11-28,css|node.js|git,3,901207
JOB-0147,ML Engineer,HCL,US,2025-04-27,deep learning|python|pytorch|aws,10,82201
JOB-0148,AI Engineer,Razorpay,India,2025-01-18,tensorflow|generative ai|pytorch|computer vision|deep learning|nlp|python,1,3626217
JOB-0149,Product Manager,Microsoft,India,2025-11-21,jira|data analysis|sql|agile,2,3317499
JOB-0150,Product Manager,Infosys,India,2025-05-10,sql|jira|excel|data analysis|agile,2,3213275
JOB-0151,Backend Developer,Apple,India,2026-02-28,python|redis|docker|node.js|sql|rest api,2,1642377
JOB-0152,Cybersecurity Analyst,HCL,US,2025-10-03,sql|networking|ethical hacking|cybersecurity|python|linux,1,191717
JOB-0153,Data Analyst,Flipkart,Europe,2025-07-23,statistics|python|tableau|excel|data analysis|power bi|pandas,3,50619
JOB-0154,Frontend Developer,Salesforce,Global,2025-10-20,css|next.js|tailwind css|git|html|javascript,2,153482
JOB-0155,Software Engineer,Adobe,India,2025-10-03,linux|sql|git|python|agile|rest api|c++,3,3738744
JOB-0156,Cloud Architect,PhonePe,US,2026-02-11,aws|gcp|azure|linux|kubernetes|networking,5,152811
JOB-0157,Data Scientist,Google,Europe,2025-06-06,deep learning|pandas|sql|python|machine learning|data visualization|scikit-learn|statistics,2,65577
JOB-0158,Product Manager,Salesforce,India,2025-01-26,excel|sql|data analysis|jira|agile,5,3127576
JOB-0159,Software Engineer,Google,India,2025-05-22,linux|c++|sql|rest api|java|python|git,0,2583167
JOB-0160,Data Analyst,Google,US,2025-06-25,power bi|data analysis|python|excel|pandas|statistics|tableau,2,171477
JOB-0161,Full Stack Developer,Adobe,Asia Pacific,2025-03-23,sql|css|react|javascript|git|html|node.js,2,91924
JOB-0162,Cybersecurity Analyst,Infosys,US,2026-02-07,linux|networking|python|sql|cybersecurity|ethical hacking,2,163680
JOB-0163,Full Stack Developer,Flipkart,US,2025-04-20,mongodb|git|sql|docker|html|node.js|javascript|css,0,162059
JOB-0164,AI Engineer,Razorpay,India,2025-10-31,python|deep learning|pytorch|tensorflow|nlp|generative ai|computer vision,5,3958509
JOB-0165,Mobile Developer,Flipkart,India,2026-02-11,firebase|swift|kotlin|react native|flutter,2,1788554
JOB-0166,Frontend Developer,Swiggy,India,2025-10-17,tailwind css|javascript|html|react|next.js|git|css|typescript,3,1852078
JOB-0167,Cloud Architect,Netflix,India,2025-06-07,gcp|terraform|linux|networking,1,2684298
JOB-0168,Cybersecurity Analyst,Tech Mahindra,Europe,2025-06-08,python|linux|ethical hacking|sql|networking,2,74611
JOB-0169,Full Stack Developer,Infosys,Asia Pacific,2025-06-21,node.js|docker|react|javascript|sql|html|git,2,116153
JOB-0170,AI Engineer,Wipro,Europe,2025-02-18,python|huggingface|generative ai|tensorflow,5,57227
JOB-0171,Data Analyst,Salesforce,Europe,2026-03-15,pandas|data analysis|python|power bi,3,67014
JOB-0172,Full Stack Developer,Netflix,India,2026-02-23,sql|docker|html|css|javascript|react,1,3491005
JOB-0173,ML Engineer,Infosys,Europe,2025-11-19,aws|machine learning|tensorflow|deep learning,7,79371
JOB-0174,Frontend Developer,TCS,US,2025-06-16,react|git|html|next.js|javascript|typescript|css,2,101367
JOB-0175,Full Stack Developer,HCL,US,2025-09-26,mongodb|docker|javascript,3,126549
JOB-0176,ML Engineer,Razorpay,India,2025-09-16,mlops|deep learning|python|pytorch|aws|tensorflow|machine learning|docker,2,1380641
JOB-0177,Frontend Developer,Wipro,US,2026-03-18,tailwind css|css|react|html|javascript|next.js,3,158733
JOB-0178,Cybersecurity Analyst,Uber,India,2025-05-16,cybersecurity|networking|python|sql|ethical hacking|linux,10,2726453
JOB-0179,Cloud Architect,Razorpay,India,2025-10-13,aws|kubernetes|gcp|networking|azure|linux|terraform,3,3865696
JOB-0180,Cybersecurity Analyst,TCS,India,2025-05-22,linux|python|ethical hacking|sql|networking|cybersecurity,2,3729684
JOB-0181,Data Analyst,HCL,US,2025-11-19,sql|tableau|excel|pandas|power bi|python,5,153362
JOB-0182,QA Engineer,Apple,India,2025-01-12,sql|agile|postman|git|javascript,5,3780322
JOB-0183,AI Engineer,Zomato,Asia Pacific,2025-12-02,huggingface|computer vision|generative ai|deep learning|nlp|pytorch,2,92130
JOB-0184,Frontend Developer,Salesforce,US,2025-01-25,next.js|react|html|css,3,101552
JOB-0185,Full Stack Developer,Zomato,India,2026-01-22,node.js|sql|mongodb|react|git,1,1665923
JOB-0186,Frontend Developer,Swiggy,US,2025-10-15,html|git|javascript|react|css|tailwind css,3,105262
JOB-0187,Data Engineer,Flipkart,US,2025-03-01,docker|python|hadoop|sql|postgresql,3,189425
JOB-0188,Data Scientist,PhonePe,Global,2025-03-24,deep learning|data visualization|scikit-learn,5,56406
JOB-0189,Cybersecurity Analyst,Google,US,2025-04-13,python|networking|sql|linux|ethical hacking|cybersecurity,3,168723
JOB-0190,DevOps Engineer,Salesforce,India,2025-04-26,docker|git|kubernetes|linux|terraform|aws|ci/cd|python,5,1155462
JOB-0191,Full Stack Developer,Apple,India,2026-01-21,javascript|sql|mongodb|node.js|react|docker|git|css,3,1260902
JOB-0192,Data Engineer,Salesforce,US,2025-06-30,docker|sql|big data|apache spark,3,80634
JOB-0193,Frontend Developer,Meta,Asia Pacific,2025-04-22,next.js|git|tailwind css|css|typescript|javascript,10,95316
JOB-0194,Software Engineer,HCL,India,2025-04-30,linux|c++|rest api,10,820169
JOB-0195,Cybersecurity Analyst,Wipro,US,2025-07-22,python|ethical hacking|cybersecurity|sql|linux,0,143616
JOB-0196,Cloud Architect,Swiggy,India,2026-02-20,azure|gcp|networking|docker|terraform|kubernetes,5,2760682
JOB-0197,ML Engineer,Amazon,India,2025-05-13,aws|python|mlops|deep learning|tensorflow|docker,5,1621318
JOB-0198,ML Engineer,Flipkart,US,2025-09-18,pytorch|aws|deep learning|python|tensorflow|mlops|machine learning|docker,1,188527
JOB-0199,Data Analyst,Microsoft,Europe,2025-02-18,excel|python|statistics|tableau|sql|pandas,0,111558
JOB-0200,Data Scientist,Tech Mahindra,Europe,2025-05-20,pandas|scikit-learn|sql|python|statistics,3,59503
JOB-0201,Data Scientist,Flipkart,India,2025-09-30,statistics|data visualization|pandas|machine learning,10,3167793
JOB-0202,Product Manager,Oracle,India,2025-10-15,sql|data analysis|excel|jira|agile,7,2990137
JOB-0203,DevOps Engineer,Infosys,Asia Pacific,2025-08-21,docker|aws|linux|kubernetes,5,95533
JOB-0204,Cybersecurity Analyst,Flipkart,India,2025-05-30,linux|networking|ethical hacking|sql|python,1,2841281
JOB-0205,QA Engineer,Oracle,Asia Pacific,2025-04-05,agile|git|javascript|python|postman,3,67044
JOB-0206,Cloud Architect,Amazon,India,2025-01-19,azure|gcp|kubernetes|networking|aws|docker|linux,3,3571783
JOB-0207,Cloud Architect,Google,Europe,2025-01-03,networking|kubernetes|aws,5,84196
JOB-0208,DevOps Engineer,Microsoft,India,2025-01-13,docker|aws|git,5,3388363
JOB-0209,Product Manager,Microsoft,Europe,2025-01-20,agile|sql|jira|excel|data analysis,3,62087
JOB-0210,AI Engineer,Meta,India,2025-05-12,huggingface|computer vision|pytorch|python|generative ai|nlp,1,1912743
JOB-0211,AI Engineer,TCS,India,2025-07-07,nlp|generative ai|deep learning,1,2320023
JOB-0212,AI Engineer,Oracle,US,2025-09-11,huggingface|python|generative ai|pytorch,0,138926
JOB-0213,Full Stack Developer,Swiggy,Europe,2025-11-10,css|javascript|react|git|docker|node.js|sql|mongodb,2,56256
JOB-0214,Data Scientist,Oracle,India,2025-09-08,sql|machine learning|scikit-learn|deep learning|statistics,3,2469059
JOB-0215,QA Engineer,PhonePe,US,2025-03-19,postman|agile|git|javascript|python|sql,2,193379
JOB-0216,Data Scientist,Amazon,India,2025-04-23,machine learning|pandas|scikit-learn|sql|python|statistics|deep learning|data visualization,0,1671860
JOB-0217,ML Engineer,Zomato,India,2025-03-10,docker|deep learning|machine learning|aws|python|tensorflow|pytorch,5,2949316
JOB-0218,AI Engineer,Meta,India,2025-10-22,generative ai|pytorch|tensorflow|deep learning,3,3238509
JOB-0219,Cybersecurity Analyst,Oracle,Europe,2025-02-05,cybersecurity|linux|ethical hacking,2,124971
JOB-0220,DevOps Engineer,Zomato,India,2025-12-02,linux|aws|terraform|python|ci/cd|docker|kubernetes|git,0,2964643
JOB-0221,Frontend Developer,Salesforce,Global,2026-03-17,git|tailwind css|next.js|typescript|html|javascript|react,0,174302
JOB-0222,Cloud Architect,Flipkart,Global,2025-05-23,gcp|terraform|linux|kubernetes|aws|docker|networking,1,178081
JOB-0223,DevOps Engineer,Apple,US,2026-02-07,kubernetes|aws|terraform|git|python,5,77345
JOB-0224,QA Engineer,Tech Mahindra,India,2025-03-27,javascript|sql|git|postman|agile,2,3884321
JOB-0225,Mobile Developer,HCL,Europe,2025-06-26,react native|flutter|javascript,5,133457
JOB-0226,Data Analyst,Microsoft,India,2025-05-24,sql|python|excel|pandas|power bi,7,3210469
JOB-0227,AI Engineer,Amazon,India,2025-11-15,python|tensorflow|nlp,3,1465139
JOB-0228,Cloud Architect,Wipro,Asia Pacific,2025-08-02,networking|linux|azure|aws|kubernetes|gcp,3,79961
JOB-0229,Data Scientist,Amazon,Global,2025-04-07,machine learning|statistics|python|scikit-learn,0,129025
JOB-0230,Backend Developer,Adobe,India,2025-09-25,node.js|sql|rest api|docker,3,868854
JOB-0231,QA Engineer,Netflix,Asia Pacific,2025-07-29,sql|python|git|javascript,7,77711
JOB-0232,ML Engineer,Salesforce,India,2026-02-21,machine learning|mlops|deep learning|docker|tensorflow|pytorch,3,3785629
JOB-0233,Full Stack Developer,Adobe,Asia Pacific,2025-01-12,node.js|sql|react|docker|css,1,96481
JOB-0234,Full Stack Developer,Apple,US,2025-12-19,git|css|javascript|node.js|html|mongodb,2,167756
JOB-0235,Full Stack Developer,Salesforce,India,2025-03-01,git|mongodb|html|javascript|css|sql,7,908449
JOB-0236,Cybersecurity Analyst,Netflix,Europe,2025-09-05,python|networking|linux|ethical hacking,5,95096
JOB-0237,Data Scientist,Flipkart,Europe,2025-06-25,data visualization|deep learning|scikit-learn|machine learning|sql|pandas|statistics|python,0,124658
JOB-0238,Data Engineer,Netflix,India,2026-02-28,apache spark|sql|aws|hadoop|python|docker,2,2340534
JOB-0239,QA Engineer,Amazon,Europe,2026-02-13,javascript|postman|python|sql|git,5,100100
JOB-0240,Product Manager,Meta,Asia Pacific,2025-02-08,sql|excel|agile,5,50449
JOB-0241,Full Stack Developer,Microsoft,US,2025-02-07,javascript|docker|git|react|mongodb|node.js|css|html,2,92010
JOB-0242,Data Analyst,Wipro,Europe,2025-06-03,power bi|pandas|tableau|python|excel|sql|data analysis|statistics,7,71778
JOB-0243,Frontend Developer,Swiggy,Global,2025-03-04,tailwind css|react|typescript,1,54493
JOB-0244,Backend Developer,Meta,India,2025-10-13,docker|rest api|sql,1,2158242
JOB-0245,Product Manager,HCL,India,2025-03-09,jira|data analysis|sql|excel,10,3610472
JOB-0246,QA Engineer,Netflix,India,2026-01-04,python|javascript|git|sql|postman|agile,7,1022381
JOB-0247,QA Engineer,Apple,India,2025-12-23,javascript|sql|agile|git|python,0,2520444
JOB-0248,ML Engineer,Uber,India,2025-03-06,pytorch|python|deep learning|machine learning|docker|tensorflow|mlops,2,2150184
JOB-0249,Frontend Developer,Wipro,Global,2025-02-07,git|react|next.js|tailwind css|css|html,1,81259
JOB-0250,Cybersecurity Analyst,Swiggy,Global,2025-07-13,sql|python|cybersecurity|ethical hacking|linux|networking,3,82327
JOB-0251,Full Stack Developer,Salesforce,India,2025-09-25,css|docker|mongodb|html|javascript|react|sql|node.js,3,3158704
JOB-0252,Product Manager,Amazon,US,2025-12-06,data analysis|jira|sql,0,87709
JOB-0253,Cloud Architect,Flipkart,Asia Pacific,2025-12-19,terraform|gcp|azure|docker,0,45482
JOB-0254,Data Analyst,HCL,Asia Pacific,2025-11-01,python|pandas|power bi,3,62054
JOB-0255,Mobile Developer,Zomato,Global,2025-11-29,swift|rest api|git|firebase|react native|flutter|kotlin|javascript,3,157628
JOB-0256,Software Engineer,Swiggy,Europe,2025-09-07,java|rest api|sql|linux|git|c++|python,7,72190
